,Natural gas balance of trade (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2,1.4,2.4,2.8,2.5,3.2,3.3,3.8,3.8,3.8,4.1,4.3,4.3,3.8,3.7,3.6,,,
Middle-East,-5.1,-6.1,-3.8,-3.5,-4.6,-7.3,-7.5,-10.3,-9.9,-15.8,-21.9,-26.8,-30.2,-33.6,-38.1,-45.2,-48.9,-50.6,-53.6,-62.0,-92.0,-120.0,-126.0,-127.9,-124.0,-112.8,-114.1,-114.7,-120.0,-125.0,-115.3,,,
Iran,-1.9,-2.6,-0.4,0.0,-0.1,0.0,0.0,0.4,1.9,2.1,3.3,4.2,4.0,2.3,2.3,0.4,0.5,0.5,2.4,-1.0,0.5,2.3,-4.6,-3.9,-2.2,-0.5,-3.2,-9.4,-13.9,-16.7,-11.4,,,
Kuwait,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.8,3.5,2.7,2.2,3.3,4.0,5.0,5.5,5.0,5.2,6.2,,,
Saudi Arabia,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
United Arab Emirates,-3.2,-3.5,-3.4,-3.5,-4.4,-6.8,-7.0,-7.6,-6.9,-7.0,-7.3,-7.4,-7.3,-7.3,-5.8,-6.1,-6.1,-1.3,9.1,10.1,9.4,10.4,11.6,13.4,12.7,14.6,14.2,14.9,12.8,13.5,13.3,,,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
